date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:08	33424/33424	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:20%20GMT	https://marketpresso.com/special/images/feat16.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat16.png	(from https://marketpresso.com/special/)
15:14:08	89177/89177	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:18%20GMT	https://marketpresso.com/special/images/feat15.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat15.png	(from https://marketpresso.com/special/)
15:14:09	128532/128532	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:20%20GMT	https://marketpresso.com/special/images/feat17.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat17.png	(from https://marketpresso.com/special/)
15:14:09	32835/32835	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:21%20GMT	https://marketpresso.com/special/images/feat18.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat18.png	(from https://marketpresso.com/special/)
15:14:09	70830/70830	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:22%20GMT	https://marketpresso.com/special/images/feat19.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat19.png	(from https://marketpresso.com/special/)
15:14:09	27406/27406	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:23%20GMT	https://marketpresso.com/special/images/feat20.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat20.png	(from https://marketpresso.com/special/)
15:14:10	260238/260238	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:00%20GMT	https://marketpresso.com/special/images/bonus1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bonus1.png	(from https://marketpresso.com/special/)
15:14:10	522067/522067	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:01%20GMT	https://marketpresso.com/special/images/bonus3.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bonus3.png	(from https://marketpresso.com/special/)
15:14:10	205336/205336	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:03%20GMT	https://marketpresso.com/special/images/bonus4.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/bonus4.png	(from https://marketpresso.com/special/)
15:14:10	282718/282718	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:29:24%20GMT	https://marketpresso.com/special/images/feat21.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/feat21.png	(from https://marketpresso.com/special/)
